@relation 'pacman-data-training-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R3-6,11-12'

@attribute posicionpacmanx numeric
@attribute posicionpacmany numeric
@attribute movimientofantasma1 {North,South,East,West,Stop,None}
@attribute movimientofantasma2 {North,South,East,West,Stop,None}
@attribute movimientofantasma3 {North,South,East,West,Stop,None}
@attribute movimientofantasma4 {North,South,East,West,Stop,None}
@attribute marcador numeric
@attribute movimiento {North,South,East,West,Stop}

@data
9,11,West,East,Stop,North,187,East
10,11,North,East,Stop,South,186,East
11,11,South,East,Stop,South,185,East
12,11,North,East,Stop,South,184,East
13,11,South,East,Stop,North,183,East
14,11,South,East,Stop,North,182,East
15,11,North,Stop,Stop,South,381,East
16,11,West,Stop,Stop,North,380,East
17,11,West,Stop,Stop,South,379,East
18,11,West,Stop,Stop,East,378,East
18,11,West,Stop,Stop,West,376,East
18,11,East,Stop,Stop,North,374,East
2,4,South,Stop,Stop,Stop,741,East
3,4,East,Stop,Stop,Stop,740,East
17,4,West,East,Stop,Stop,384,West
16,4,West,South,Stop,Stop,383,West
15,4,East,South,Stop,Stop,382,West
14,4,West,North,Stop,Stop,381,West
13,4,West,North,Stop,Stop,380,West
12,4,North,South,Stop,Stop,379,West
11,4,North,North,Stop,Stop,378,West
10,4,East,North,Stop,Stop,377,West
9,5,East,South,Stop,Stop,375,West
8,6,East,West,Stop,Stop,373,West
7,7,West,East,Stop,Stop,371,West
6,7,East,East,Stop,Stop,370,West
5,7,Stop,South,Stop,Stop,569,West
4,7,Stop,East,Stop,Stop,568,West
14,4,East,East,East,East,-11,West
13,4,South,East,West,North,-12,West
17,11,East,West,North,East,75,West
16,11,East,East,East,South,74,West
15,11,East,North,South,North,73,West
15,11,West,North,East,Stop,265,West
14,11,West,East,West,Stop,264,West
13,11,South,South,Stop,Stop,463,West
12,11,North,North,Stop,Stop,462,West
11,11,East,East,Stop,Stop,461,West
10,11,South,East,Stop,Stop,460,West
9,11,West,South,Stop,Stop,459,West
8,11,East,North,Stop,Stop,458,West
7,11,West,East,Stop,Stop,457,West
8,3,Stop,Stop,East,South,381,West
7,3,Stop,Stop,East,West,380,West
7,4,North,Stop,West,East,166,West
6,4,West,Stop,West,West,165,West
5,4,East,Stop,Stop,South,364,West
4,4,West,Stop,Stop,South,363,West
17,7,Stop,Stop,Stop,West,637,West
16,7,Stop,Stop,Stop,North,636,West
15,7,Stop,Stop,Stop,West,635,West
14,9,Stop,Stop,Stop,North,632,West
13,11,Stop,Stop,Stop,North,728,West
12,11,Stop,Stop,Stop,West,727,West
11,11,Stop,Stop,Stop,West,726,West
10,9,Stop,Stop,Stop,East,723,West
13,7,South,East,Stop,Stop,481,West
12,7,North,North,Stop,Stop,480,West
12,7,West,West,Stop,Stop,479,West
11,9,East,South,Stop,Stop,476,West
10,9,East,North,Stop,Stop,475,West
9,9,South,West,Stop,Stop,474,West
8,9,South,West,Stop,Stop,473,West
7,4,West,South,Stop,Stop,467,West
6,4,West,East,Stop,Stop,466,West
5,4,West,West,Stop,Stop,465,West
4,3,North,West,Stop,Stop,462,West
3,3,West,West,Stop,Stop,461,West
2,3,North,West,Stop,Stop,460,West
1,5,Stop,East,Stop,Stop,656,West
1,5,Stop,West,Stop,Stop,655,West
16,14,West,East,North,Stop,187,West
15,14,North,West,North,Stop,186,West
14,14,South,East,West,Stop,185,West
13,14,East,East,West,Stop,184,West
12,14,West,South,South,Stop,183,West
11,14,North,West,North,Stop,182,West
10,14,North,South,South,Stop,181,West
9,14,East,South,West,Stop,180,West
8,14,East,South,South,Stop,179,West
7,10,East,Stop,West,Stop,374,West
6,10,East,Stop,North,Stop,373,West
5,7,South,Stop,South,Stop,369,West
4,7,South,Stop,South,Stop,368,West
17,7,East,North,East,West,89,West
16,7,East,South,West,South,88,West
15,7,West,East,North,North,87,West
14,7,South,North,North,South,86,West
13,7,North,North,East,East,85,West
12,7,East,North,East,East,84,West
15,13,South,East,Stop,Stop,473,West
14,13,West,West,Stop,Stop,472,West
13,13,North,North,Stop,Stop,471,West
12,13,South,South,Stop,Stop,470,West
11,13,East,South,Stop,Stop,469,West
10,13,North,North,Stop,Stop,468,West
9,13,East,South,Stop,Stop,467,West
8,13,North,North,Stop,Stop,466,West
7,13,East,East,Stop,Stop,465,West
6,13,West,East,Stop,Stop,464,West
5,13,South,East,Stop,Stop,463,West
4,13,North,West,Stop,Stop,462,West
3,13,East,West,Stop,Stop,461,West
2,13,North,East,Stop,Stop,460,West
1,13,North,West,Stop,Stop,459,West
14,14,West,Stop,Stop,Stop,639,West
13,14,East,Stop,Stop,Stop,638,West
14,7,West,West,North,South,-20,West
13,7,South,West,North,South,-21,West
12,7,South,West,North,South,-22,West
11,9,South,North,South,West,-25,West
10,9,South,East,South,West,-26,West
9,9,South,East,North,South,-27,West
8,9,East,East,East,East,-28,West
7,9,East,Stop,East,North,171,West
6,9,East,Stop,South,East,170,West
11,7,East,Stop,East,West,155,West
16,9,South,Stop,Stop,Stop,546,West
15,9,South,Stop,Stop,Stop,545,West
17,9,North,Stop,Stop,Stop,641,West
16,9,West,Stop,Stop,Stop,640,West
15,9,South,Stop,Stop,Stop,639,West
14,9,South,Stop,Stop,Stop,638,West
13,9,East,Stop,Stop,Stop,637,West
12,6,West,Stop,Stop,Stop,633,West
11,6,East,Stop,Stop,Stop,632,West
10,6,East,Stop,Stop,Stop,631,West
9,6,East,Stop,Stop,Stop,630,West
8,6,South,Stop,Stop,Stop,629,West
7,6,South,Stop,Stop,Stop,628,West
6,6,North,Stop,Stop,Stop,627,West
5,6,North,Stop,Stop,Stop,626,West
4,8,West,Stop,Stop,Stop,617,West
3,8,East,Stop,Stop,Stop,616,West
2,8,East,Stop,Stop,Stop,615,West
17,11,West,Stop,Stop,East,377,West
17,11,South,Stop,Stop,North,375,West
17,11,South,Stop,Stop,North,373,West
16,11,South,Stop,Stop,East,372,West
15,11,South,Stop,Stop,North,371,West
14,11,North,Stop,Stop,North,370,West
13,5,South,Stop,Stop,Stop,663,West
12,5,West,Stop,Stop,Stop,662,West
11,5,West,Stop,Stop,Stop,661,West
10,5,North,Stop,Stop,Stop,660,West
9,6,East,Stop,Stop,Stop,758,West
8,6,East,Stop,Stop,Stop,757,West
8,6,West,Stop,Stop,Stop,756,West
7,4,North,Stop,Stop,Stop,753,West
6,4,South,Stop,Stop,Stop,752,West
5,4,West,Stop,Stop,Stop,751,West
4,4,West,Stop,Stop,Stop,750,West
3,4,West,Stop,Stop,Stop,749,West
2,3,North,Stop,Stop,Stop,745,West
1,3,North,Stop,Stop,Stop,744,West
1,3,South,Stop,Stop,Stop,743,West
